code,code_name,buy_date,sell_date,purchase_price,sell_price,sell_rate,holding_amount,holding_days,composite_score,score_a,score_b,score_c,score_d,score_e,score_f,score_penalty
014620,성광벤드,202411220900,20241125,16810,20900,23.99,59,3,146.7,58.2,8.0,35.0,22.5,15.0,10.0,-5.0
067160,SOOP,202502050900,20250206,92300,114600,23.82,10,1,149.21,43.8,2.91,35.0,22.5,15.0,5.0,10.0
042520,한스바이오메드,202509240900,20250925,14820,18400,23.81,67,1,142.0,60.0,8.0,35.0,20.0,19.0,10.0,-10.0
288330,파라택시스코리아,202408140900,20240816,2590,3215,23.79,386,2,146.5,60.0,0.0,35.0,22.5,19.0,10.0,0.0
171090,선익시스템,202404260900,20240429,49000,60700,23.53,20,3,142.5,60.0,8.0,35.0,22.5,15.0,10.0,-8.0
000040,KR모터스,202304030900,20230404,1454,1801,23.52,687,1,144.14,52.8,5.34,35.0,20.0,19.0,10.0,2.0
086900,메디톡스,202302100900,20230213,133400,165000,23.35,7,3,151.32,60.0,4.32,35.0,20.0,15.0,10.0,-8.0
084650,랩지노믹스,202308090900,20230810,4805,5930,23.07,208,1,163.0,60.0,8.0,35.0,20.0,15.0,10.0,0.0
252990,샘씨엔에스,202402060900,20240207,7140,8810,23.05,140,1,157.41,60.0,7.91,35.0,17.5,15.0,10.0,0.0
334970,프레스티지바이오로직스,202407190900,20240726,4800,5920,22.99,208,7,148.82,58.2,6.12,35.0,22.5,15.0,10.0,2.0
126700,하이비젼시스템,202410240900,20241025,16420,20250,22.98,60,1,140.5,42.0,0.0,35.0,17.5,19.0,10.0,2.0
033170,시그네틱스,202305310900,20230601,1453,1790,22.85,688,1,142.34,56.4,5.94,35.0,25.0,15.0,10.0,-5.0
297890,HB솔루션,202307030900,20230712,4822,5940,22.84,207,9,147.0,60.0,0.0,35.0,20.0,15.0,10.0,-8.0
030520,한글과컴퓨터,202401090900,20240111,20000,24600,22.66,50,2,156.45,60.0,13.95,35.0,22.5,15.0,10.0,-15.0
