code,code_name,buy_date,sell_date,purchase_price,sell_price,sell_rate,holding_amount,holding_days
139670,키네마스터,202512300900,20260102,2065,2830,36.67,484,3
072470,우리산업홀딩스,202506050900,20250609,2640,3615,36.55,378,4
274090,켄코아에어로스페이스,202512220900,20251223,12450,17030,36.41,80,1
256840,한국비엔씨,202505300900,20250602,4345,5940,36.33,230,3
095700,제넥신,202507170900,20250718,5100,6970,36.29,196,1
115610,이미지스,202509160900,20250917,827,1130,36.26,1209,1
217500,러셀,202601150900,20260120,3100,4235,36.24,322,5
052220,iMBC,202412090900,20241210,3770,5150,36.23,265,1
307750,국전약품,202507170900,20250718,3625,4950,36.17,275,1
000040,KR모터스,202507220900,20250723,447,610,36.09,2237,1
025870,신라에스지,202412060900,20241210,5720,7800,35.99,174,4
138360,앤로보틱스,202601190900,20260120,1816,2475,35.91,550,1
049470,비트플래닛,202508290900,20250901,2650,3610,35.85,377,3
004060,SG세계물산,202511210900,20251124,301,410,35.84,3322,3
051780,큐로홀딩스,202509180900,20250919,1163,1584,35.82,859,1
900260,로스웰,202507040900,20250707,683,930,35.79,1464,3
099220,SDN,202504140900,20250423,1265,1722,35.75,790,9
450140,코오롱모빌리티그룹,202509160900,20250917,9340,12710,35.71,107,1
322180,LS티라유텍,202601020900,20260105,7790,10600,35.7,128,3
065420,에스아이리소스,202408070900,20240808,239,325,35.61,4184,1
054540,삼영엠텍,202509080900,20250911,12060,16390,35.53,82,3
002720,국제약품,202310250900,20231026,3800,5160,35.41,263,1
060250,NHN KCP,202506110900,20250619,8930,12120,35.35,111,8
076080,웰크론한텍,202501060900,20250107,1090,1479,35.31,917,1
032580,피델릭스,202410070900,20241008,1160,1573,35.23,862,1
001000,신라섬유,202503310900,20250401,1113,1508,35.12,898,1
078140,대봉엘에스,202503110900,20250312,12890,17460,35.08,77,1
020710,시공테크,202412060900,20241209,3175,4300,35.06,314,3
114190,강원에너지,202510240900,20251027,11720,15870,35.04,85,3
024060,흥구석유,202309120900,20230913,6100,8260,35.04,163,1
290520,신도기연,202507170900,20250718,1740,2355,34.97,574,1
016920,카스,202412100900,20241211,2365,3200,34.93,422,1
102370,케이옥션,202409120900,20240926,4025,5440,34.78,248,14
084650,랩지노믹스,202501060900,20250107,2760,3730,34.77,362,1
